uniqueID	Word	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
aardvark	aardvark	1																													1																							
abacus	abacus													1																																								
accordion	accordion																		1																																			
acorn	acorn																																																					
air conditioner	air conditioner									1																																1												
air mattress	air mattress												1																																									
air pump	air pump																							1																														
airbag	airbag																				1																																	
airboat	airboat																										1								1																			
aircraft carrier	aircraft carrier																										1								1																			
airplane	airplane																										1																											
album	album													1																																								
alligator	alligator	1																																																				
almond	almond										1																																											
aloe	aloe																					1																																
alpaca	alpaca	1																													1																							
altar	altar																																																					
aluminum foil	aluminum foil																																																					
amber	amber																																																					
ambulance	ambulance																										1																											
amplifier	amplifier									1																																												
anchor	anchor																																																					
ankle	ankle			1																																																		
anklet	anklet																																	1																				
ant	ant	1													1																																							
anteater	anteater	1																													1																							
antelope	antelope	1																													1																							
antenna	antenna																																																					
anvil	anvil																							1																														
appetizer	appetizer										1																																											
apple	apple										1	1																																										
apple tree	apple tree																					1																																
applesauce	applesauce										1																									1																		
apron	apron				1																																												1				1	
aquarium	aquarium						1							1																																								
arch	arch																																																					
arm	arm			1																																																		
armor	armor				1																																									1			1					
arrow	arrow																											1																										
artichoke	artichoke										1											1				1																												
arugula	arugula										1											1				1																												
ashtray	ashtray						1																																															
asparagus	asparagus										1											1				1																												
avocado	avocado										1	1																																										
awning	awning																																																					
axe	axe																							1				1		1							1																	
baby	baby																																																					
backdrop	backdrop																																																					
backgammon	backgammon																																																		1			
backpack	backpack						1																																								1							
backscratcher	backscratcher																							1																														
bacon	bacon										1																																	1										
badge	badge																																																					
badger	badger	1																													1																							
bag	bag						1																																															
bagel	bagel										1																																	1										
bagpipe	bagpipe																		1																																			
baklava	baklava							1			1																																											
balance beam	balance beam																						1																															
ball	ball																						1		1																													
balloon	balloon																								1																													
ballot box	ballot box						1																																															
bamboo	bamboo																					1																																
banana	banana										1	1																																										
banana peel	banana peel																																																					
banana split	banana split							1			1																																											
bandage	bandage																	1																																				
bandanna	bandanna				1	1																																										1						
banjo	banjo																		1																																			
bank	bank						1																																															
banner	banner																																																					
barbed wire	barbed wire																																																					
barbell	barbell																						1																															
barcode	barcode																																																					
bark	bark																																																					
barnacle	barnacle	1																														1																						
barrel	barrel						1																																															
barrette	barrette																																1	1																				
baseball	baseball																						1																															
baseball bat	baseball bat																						1					1																										
baseball glove	baseball glove																						1																															
basil	basil										1											1																																
basket	basket						1																																															
basketball	basketball																						1																															
basketball hoop	basketball hoop																						1																															
bassinet	bassinet												1																																									
bassoon	bassoon																		1																																			
bat1	bat	1																													1																							
bat2	bat																						1					1																										
bathmat	bathmat																																																					
bathrobe	bathrobe				1																																																	
bathtub	bathtub						1																																															
baton1	baton																																																					
baton2	baton																											1																										
baton3	baton																						1																															
baton4	baton																						1																															
batter	batter										1																																											
battery	battery																																																					
bazooka	bazooka																											1																										
beachball	beachball																						1		1																													
bead	bead																																								1													
beaker	beaker						1																																	1														
bean	bean										1																																											
beanbag	beanbag												1																																									
beanie	beanie				1																																											1						
bear	bear	1																													1																							
beard	beard			1																																																		
beaver	beaver	1																													1																							
bed	bed												1																																									
bedpan	bedpan						1											1																																				
bedpost	bedpost																																																					
bee	bee	1													1																																							
beehive	beehive																																																					
beer	beer								1																																													
beet	beet										1															1																												
beetle	beetle	1													1																																							
bell	bell																		1																																			
bell pepper	bell pepper										1															1																												
belt	belt				1	1																																																
belt buckle	belt buckle					1																											1																					
bench	bench												1																																									
berry	berry										1	1																																										
bib	bib																																																					
bike	bike																										1																											
bikini	bikini				1																																																	1
bin	bin						1																																															
binder	binder																			1																											1							
binoculars	binoculars																																																					
bird	bird	1	1																																																			
birdbath	birdbath						1							1																																								
birdcage	birdcage						1							1																																								
birdhouse	birdhouse													1																																								
birthday cake	birthday cake							1			1																																											
biscuit	biscuit										1																																											
